id,date,gu,patient_count
0,2020-01-24,강서구,1
1,2020-01-30,마포구,1
2,2020-01-30,종로구,1
3,2020-01-30,중랑구,1
4,2020-01-31,성북구,1
5,2020-01-31,종로구,2
7,2020-02-05,성북구,1
8,2020-02-05,송파구,1
9,2020-02-06,서대문구,1
11,2020-02-16,종로구,2
12,2020-02-19,성동구,1
13,2020-02-19,종로구,1
14,2020-02-20,성동구,1
15,2020-02-20,종로구,3
17,2020-02-21,서대문구,1
18,2020-02-21,서초구,1
19,2020-02-22,강동구,1
20,2020-02-22,구로구,1
21,2020-02-22,서초구,2
22,2020-02-22,송파구,1
23,2020-02-23,강동구,1
24,2020-02-23,강서구,1
25,2020-02-23,종로구,1
26,2020-02-24,송파구,3
27,2020-02-24,은평구,1
28,2020-02-25,강동구,1
29,2020-02-25,관악구,1
30,2020-02-25,금천구,1
31,2020-02-25,노원구,2
32,2020-02-25,동작구,1
33,2020-02-25,송파구,4
34,2020-02-25,은평구,2
36,2020-02-26,강남구,2
37,2020-02-26,관악구,1
38,2020-02-26,노원구,1
39,2020-02-26,양천구,1
40,2020-02-26,은평구,4
41,2020-02-26,종로구,1
42,2020-02-27,강남구,1
43,2020-02-27,광진구,1
44,2020-02-27,노원구,1
45,2020-02-27,동대문구,1
46,2020-02-27,서대문구,2
47,2020-02-27,서초구,1
49,2020-02-28,강남구,3
50,2020-02-28,강동구,1
51,2020-02-28,관악구,1
52,2020-02-28,노원구,3
53,2020-02-28,성동구,1
54,2020-02-28,송파구,3
55,2020-02-29,강남구,1
56,2020-02-29,관악구,1
58,2020-02-29,노원구,1
59,2020-02-29,영등포구,1
60,2020-03-01,강남구,1
61,2020-03-01,광진구,1
62,2020-03-01,성북구,1
63,2020-03-01,양천구,1
64,2020-03-01,영등포구,1
65,2020-03-02,강남구,1
66,2020-03-02,도봉구,1
67,2020-03-02,서초구,1
68,2020-03-02,성북구,2
69,2020-03-02,영등포구,1
70,2020-03-04,강북구,2
71,2020-03-04,동대문구,3
72,2020-03-04,용산구,1
73,2020-03-04,중랑구,1
74,2020-03-05,강남구,1
75,2020-03-06,강북구,2
76,2020-03-06,강서구,1
77,2020-03-06,성북구,1
78,2020-03-06,양천구,1
80,2020-03-07,강남구,1
81,2020-03-07,관악구,1
82,2020-03-07,서초구,1
83,2020-03-07,양천구,2
84,2020-03-07,은평구,1
86,2020-03-08,강남구,1
87,2020-03-08,노원구,1
88,2020-03-08,동대문구,7
90,2020-03-09,강동구,1
91,2020-03-09,강서구,3
92,2020-03-09,구로구,8
