date,day,hour,food,count,celsius(C),rain(mm)
2020-01-01,Wednesday,0,분식,13,-6.5,0
2020-01-01,Wednesday,0,야식,28,-6.5,0
2020-01-01,Wednesday,0,족발/보쌈,27,-6.5,0
2020-01-01,Wednesday,0,찜탕,3,-6.5,0
2020-01-01,Wednesday,0,치킨,103,-6.5,0
2020-01-01,Wednesday,0,카페/디저트,1,-6.5,0
2020-01-01,Wednesday,0,피자,14,-6.5,0
2020-01-01,Wednesday,0,한식,2,-6.5,0
2020-01-01,Wednesday,0,회,15,-6.5,0
2020-01-01,Wednesday,1,돈까스/일식,1,-5.9,0
2020-01-01,Wednesday,1,분식,5,-5.9,0
2020-01-01,Wednesday,1,야식,5,-5.9,0
2020-01-01,Wednesday,1,족발/보쌈,19,-5.9,0
2020-01-01,Wednesday,1,찜탕,1,-5.9,0
2020-01-01,Wednesday,1,치킨,62,-5.9,0
2020-01-01,Wednesday,1,카페/디저트,3,-5.9,0
2020-01-01,Wednesday,1,피자,3,-5.9,0
2020-01-01,Wednesday,1,한식,3,-5.9,0
2020-01-01,Wednesday,1,회,3,-5.9,0
2020-01-01,Wednesday,2,돈까스/일식,4,-5.7,0
2020-01-01,Wednesday,2,야식,2,-5.7,0
2020-01-01,Wednesday,2,치킨,19,-5.7,0
2020-01-01,Wednesday,2,피자,1,-5.7,0
2020-01-01,Wednesday,2,한식,1,-5.7,0
2020-01-01,Wednesday,2,회,1,-5.7,0
2020-01-01,Wednesday,9,치킨,1,-4.3,0
2020-01-01,Wednesday,9,패스트푸드,5,-4.3,0
2020-01-01,Wednesday,9,한식,1,-4.3,0
2020-01-01,Wednesday,10,분식,23,-4.2,0
2020-01-01,Wednesday,10,아시안/양식,2,-4.2,0
2020-01-01,Wednesday,10,찜탕,1,-4.2,0
2020-01-01,Wednesday,10,치킨,2,-4.2,0
2020-01-01,Wednesday,10,카페/디저트,8,-4.2,0
2020-01-01,Wednesday,10,패스트푸드,16,-4.2,0
2020-01-01,Wednesday,10,한식,11,-4.2,0
2020-01-01,Wednesday,11,도시락,1,-3.4,0
2020-01-01,Wednesday,11,돈까스/일식,4,-3.4,0
2020-01-01,Wednesday,11,분식,47,-3.4,0
2020-01-01,Wednesday,11,아시안/양식,7,-3.4,0
2020-01-01,Wednesday,11,야식,1,-3.4,0
2020-01-01,Wednesday,11,족발/보쌈,6,-3.4,0
2020-01-01,Wednesday,11,중식,5,-3.4,0
2020-01-01,Wednesday,11,찜탕,5,-3.4,0
2020-01-01,Wednesday,11,치킨,19,-3.4,0
2020-01-01,Wednesday,11,카페/디저트,33,-3.4,0
2020-01-01,Wednesday,11,패스트푸드,26,-3.4,0
2020-01-01,Wednesday,11,피자,17,-3.4,0
2020-01-01,Wednesday,11,한식,45,-3.4,0
2020-01-01,Wednesday,11,회,3,-3.4,0
2020-01-01,Wednesday,12,돈까스/일식,9,-2.2,0.1
2020-01-01,Wednesday,12,분식,58,-2.2,0.1
2020-01-01,Wednesday,12,아시안/양식,16,-2.2,0.1
2020-01-01,Wednesday,12,야식,5,-2.2,0.1
2020-01-01,Wednesday,12,족발/보쌈,13,-2.2,0.1
2020-01-01,Wednesday,12,중식,10,-2.2,0.1
2020-01-01,Wednesday,12,찜탕,5,-2.2,0.1
2020-01-01,Wednesday,12,치킨,28,-2.2,0.1
2020-01-01,Wednesday,12,카페/디저트,37,-2.2,0.1
2020-01-01,Wednesday,12,패스트푸드,25,-2.2,0.1
2020-01-01,Wednesday,12,피자,35,-2.2,0.1
2020-01-01,Wednesday,12,한식,48,-2.2,0.1
2020-01-01,Wednesday,12,회,2,-2.2,0.1
2020-01-01,Wednesday,13,돈까스/일식,9,-1,0
2020-01-01,Wednesday,13,분식,64,-1,0
2020-01-01,Wednesday,13,아시안/양식,25,-1,0
2020-01-01,Wednesday,13,야식,3,-1,0
2020-01-01,Wednesday,13,족발/보쌈,14,-1,0
2020-01-01,Wednesday,13,중식,15,-1,0
2020-01-01,Wednesday,13,찜탕,8,-1,0
2020-01-01,Wednesday,13,치킨,48,-1,0
2020-01-01,Wednesday,13,카페/디저트,58,-1,0
2020-01-01,Wednesday,13,패스트푸드,42,-1,0
2020-01-01,Wednesday,13,피자,38,-1,0
2020-01-01,Wednesday,13,한식,49,-1,0
2020-01-01,Wednesday,13,회,1,-1,0
